timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702771238029,44,Get Characters,200,OK,HW Group 1-2,text,true,,318,159,13,13,http://localhost:3001/characters,40,0,24
1702771238030,44,Get Characters,200,OK,HW Group 1-9,text,true,,318,159,14,14,http://localhost:3001/characters,40,0,24
1702771238029,44,Get Characters,200,OK,HW Group 1-6,text,true,,318,159,13,13,http://localhost:3001/characters,40,0,24
1702771238029,44,Get Characters,200,OK,HW Group 1-5,text,true,,318,159,13,13,http://localhost:3001/characters,40,0,24
1702771238029,44,Get Characters,200,OK,HW Group 1-7,text,true,,318,159,13,13,http://localhost:3001/characters,40,0,24
1702771238029,44,Get Characters,200,OK,HW Group 1-3,text,true,,318,159,13,13,http://localhost:3001/characters,40,0,24
1702771238034,40,Get Characters,200,OK,HW Group 1-10,text,true,,318,159,13,13,http://localhost:3001/characters,36,0,20
1702771238029,44,Get Characters,200,OK,HW Group 1-1,text,true,,318,159,14,14,http://localhost:3001/characters,40,0,24
1702771238030,44,Get Characters,200,OK,HW Group 1-8,text,true,,318,159,14,14,http://localhost:3001/characters,40,0,25
1702771238029,44,Get Characters,200,OK,HW Group 1-4,text,true,,318,159,14,14,http://localhost:3001/characters,40,0,24
1702771238057,17,Get Characters,200,OK,HW Group 1-12,text,true,,318,159,13,13,http://localhost:3001/characters,13,0,3
1702771238046,28,Get Characters,200,OK,HW Group 1-11,text,true,,318,159,13,13,http://localhost:3001/characters,24,0,8
1702771238065,9,Get Characters,200,OK,HW Group 1-13,text,true,,318,159,13,13,http://localhost:3001/characters,5,0,1
1702771238077,3,Get Character,200,OK,HW Group 1-7,text,true,,257,160,14,14,http://localhost:3001/character/1,3,0,0
1702771238077,4,Get Character,200,OK,HW Group 1-6,text,true,,257,160,14,14,http://localhost:3001/character/1,4,0,0
1702771238076,6,Get Character,200,OK,HW Group 1-3,text,true,,257,160,14,14,http://localhost:3001/character/1,6,0,0
1702771238077,5,Get Character,200,OK,HW Group 1-5,text,true,,257,160,14,14,http://localhost:3001/character/1,5,0,0
1702771238076,7,Get Character,200,OK,HW Group 1-12,text,true,,257,160,14,14,http://localhost:3001/character/1,7,0,0
1702771238077,6,Get Character,200,OK,HW Group 1-9,text,true,,257,160,14,14,http://localhost:3001/character/1,6,0,0
1702771238077,6,Get Character,200,OK,HW Group 1-10,text,true,,257,160,14,14,http://localhost:3001/character/1,6,0,0
1702771238077,6,Get Character,200,OK,HW Group 1-8,text,true,,257,160,14,14,http://localhost:3001/character/1,6,0,0
1702771238077,6,Get Character,200,OK,HW Group 1-2,text,true,,257,160,14,14,http://localhost:3001/character/1,6,0,0
1702771238077,7,Get Character,200,OK,HW Group 1-1,text,true,,257,160,14,14,http://localhost:3001/character/1,6,0,0
1702771238077,7,Get Character,200,OK,HW Group 1-11,text,true,,257,160,14,14,http://localhost:3001/character/1,7,0,0
